home_ranking,away_ranking,ranking_diff,home_form,away_form,form_diff,home_goals_avg,away_goals_avg,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_total,is_neutral,result
100,100,0,0.4,0.7,-0.29999999999999993,2.3,2.8,0.33,0.33,0.33,0,0,2
100,100,0,0.3,0.5,-0.2,1.8,2.3,0.33,0.33,0.33,0,0,2
100,100,0,0.3,0.3,0.0,2.2,2.6,0.5,0.0,0.5,8,0,2
100,100,0,0.4,0.6,-0.19999999999999996,3.0,2.5,0.33,0.33,0.33,0,0,1
100,100,0,0.5,0.3,0.2,2.5,1.7,0.0,0.0,1.0,1,1,1
100,100,0,0.9,0.4,0.5,3.1,2.4,0.3333333333333333,0.16666666666666666,0.5,12,0,2
100,100,0,0.5,0.0,0.5,3.1,1.4,1.0,0.0,0.0,1,0,2
100,100,0,0.0,0.1,-0.1,1.0,1.7,0.33,0.33,0.33,0,0,0
100,100,0,0.2,0.0,0.2,2.0,1.0,1.0,0.0,0.0,1,0,2
100,100,0,0.0,0.2,-0.2,1.1,1.4,0.0,0.0,1.0,1,0,0
100,100,0,0.5,0.2,0.3,2.7,1.9,0.33,0.33,0.33,0,0,2
100,100,0,0.3,0.5,-0.2,1.6,3.1,0.2909090909090909,0.18181818181818182,0.5272727272727272,55,0,1
100,100,0,0.2,0.4,-0.2,2.3,2.5,0.4444444444444444,0.0,0.5555555555555556,9,0,2
100,100,0,0.4,0.4,0.0,2.1,2.7,0.0,1.0,0.0,1,0,2
100,100,0,0.2,0.3,-0.09999999999999998,1.6,1.5,0.33,0.33,0.33,0,1,2
100,100,0,0.6,0.3,0.3,2.5,1.8,0.6666666666666666,0.14285714285714285,0.19047619047619047,21,1,1
100,100,0,0.4,0.5,-0.09999999999999998,2.5,2.7,0.33,0.33,0.33,0,1,2
100,100,0,0.3,0.5,-0.2,1.7,2.3,0.33,0.33,0.33,0,1,1
